id,lon,lat
485,-118.8460327,39.43547736
486,-118.8437417,39.43729032
487,-118.8438867,39.43541878
488,-118.849215,39.43666652
489,-118.8502536,39.43542582
490,-118.8515516,39.43618608
491,-118.8358203,39.52369582
492,-118.8130026,39.50549216
493,-118.8119409,39.50484268
494,-118.8077982,39.50569641
495,-118.8025192,39.50615563
496,-118.8030647,39.50378737
497,-118.8024445,39.50170182
498,-118.814122,39.50101899
499,-118.8150685,39.50086149
500,-118.8129983,39.49812082
501,-118.8176037,39.49792747
502,-118.8222111,39.49973091
503,-118.8210822,39.49865285
504,-118.8263202,39.49488759
505,-118.8002075,39.49222069
506,-118.7993776,39.49020488
507,-118.8065232,39.48762742
508,-118.8066744,39.48667313
509,-118.8063967,39.48811165
510,-118.8040983,39.48888758
511,-118.8417018,39.48039197
512,-118.8307305,39.47847396
513,-118.8182566,39.47679883
514,-118.8167802,39.47829499
515,-118.8158978,39.47626976
516,-118.8105527,39.47518476
517,-118.8088434,39.47554279
518,-118.8341227,39.45705303
519,-118.8327848,39.45818603
520,-118.8325939,39.45466399
521,-118.8316454,39.4563502
522,-118.8300045,39.4560996
523,-118.8364821,39.46097598
524,-118.8349928,39.46109239
525,-118.8339729,39.46089098
526,-118.8350926,39.46525423
527,-118.8366965,39.46711493
528,-118.8384624,39.46445504
529,-118.8407836,39.46438768
530,-118.8396537,39.46916138
531,-118.8362889,39.46812242
532,-118.8360976,39.46932081
533,-118.8332001,39.46807654
534,-118.8299584,39.46489282
535,-118.8322026,39.46494275
536,-118.8302001,39.46108463
537,-118.8426701,39.46787066
538,-118.8364888,39.47196322
539,-118.8345541,39.47307351
540,-118.836845,39.47367377
541,-118.8255628,39.46644111
542,-118.8265966,39.46268396
543,-118.8204664,39.46602974
544,-118.8203889,39.46146904
545,-118.8204215,39.4638563
546,-118.814677,39.46116894
547,-118.8161777,39.46155436
548,-118.8352874,39.4476364
549,-118.8336665,39.44787129
550,-118.8316116,39.44697305
551,-118.8299017,39.44748809
552,-118.830501,39.44851076
553,-118.8293671,39.45012538
554,-118.8367767,39.45132129
555,-118.8340905,39.45026451
556,-118.8349524,39.45140472
557,-118.8298912,39.45192937
558,-118.83246,39.45210266
559,-118.8367531,39.44949951
560,-118.8334787,39.44949299
561,-118.82781,39.45351187
562,-118.8014189,39.45776703
563,-118.8030152,39.45912467
564,-118.8029989,39.45565461
565,-118.8028321,39.4510209
566,-118.8027087,39.44731618
567,-118.8072107,39.44654198
568,-118.8076648,39.44999866
569,-118.8121526,39.44831171
570,-118.8136424,39.45137616
571,-118.8025962,39.45392837
572,-118.8031291,39.45305609
573,-118.8046937,39.45325682
574,-118.8054138,39.45364635
575,-118.8074311,39.45354324
576,-118.8100112,39.45852642
577,-118.8091706,39.45540021
578,-118.809428,39.456792
579,-118.8057592,39.45571891
580,-118.8060659,39.45789479
581,-118.8182788,39.45748972
582,-118.8158093,39.45749544
583,-118.8127024,39.4575218
584,-118.806324,39.45948668
585,-118.8125881,39.45878754
586,-118.8167031,39.45923861
587,-118.8138988,39.45924593
588,-118.8350791,39.43959772
589,-118.8357815,39.44266295
590,-118.8348427,39.43692234
591,-118.8343598,39.43454912
595,-118.8317027,39.43934775
